id,name,city,province,description,category,metadata,ratings,budget,latitude,longitude,operating hours,contact information
1,Aguinaldo Shrine,Kawit,Cavite,"""The ancestral home of the first Philippine President Emilio Aguinaldo where Philippine Independence was proclaimed on June 12, 1898. Features historical exhibits and memorabilia from the revolution period.""",Historical Site,"""Educational, Historical, Budget""",4.5,100,14.44527081,120.9068554,9:00 AM - 4:00 PM Daily Except Mondays,046 484 7643
2,Tagaytay Ridge,Tagaytay,Cavite,"""A mountain ridge offering breathtaking panoramic views of Taal Volcano, and Taal Lake.""",Natural Attraction,"""Scenic, Photography, Budget""",4.8,0,14.09731054,120.922487,Open 24 hours,NaN
3,Sky Ranch Tagaytay,Tagaytay,Cavite,"""An amusement park featuring various rides, and attractions with a spectacular view of Taal Volcano. Home to one of the tallest Ferris wheels in the Philippines.""",Leisure,"""Family-oriented, Fun, Thrill""",4.3,900,14.09543379,120.9377015,10:00 AM - 10:00 PM Mon-Fri; 8:00 AM - 10:00 PM Sat-Sun,https://www.facebook.com/skyranchtagaytayofficial/
4,Puzzle Mansion,Tagaytay,Cavite,"""Home to the Guinness World Record holder for the largest collection of jigsaw puzzles. A unique attraction showcasing thousands of completed puzzle artworks in various sizes.""",Museum,"""Unique, Indoor, Family-oriented""",4.2,150,14.09756079,120.9030907,8:00 AM - 5:00 PM Daily,(02) 8861 0019
5,Balite Falls,Amadeo,Cavite,"""A natural cascade with cool refreshing waters where visitors can swim, and picnic surrounded by lush vegetation. Features stone pools, and relaxation areas.""",Natural Attraction,"""Adventure, Nature, Budget""",4.1,100,14.2112162,120.9227518,7:00 AM - 5:00 PM Daily,NaN
6,Sonya's Garden,Tagaytay,Cavite,"""A charming garden restaurant and bed & breakfast, serving organic farm-to-table meals in a romantic, rustic setting with beautiful flower gardens, and greenhouses.""",Restaurant,"""Romantic, Upscale, Nature""",4.6,7000,14.08718294,120.8497877,7:00 AM - 9:00 PM Daily,www.sonyasgarden.com
7,Balay Indang,Indang,Cavite,"""A garden resort offering a serene escape with beautiful cottages nestled among lush gardens. Features farm-to-table dining experiences and nature-based activities.""",Resort,"""Relaxation, Nature, Upscale""",4.5,3500,14.1632472,120.9003353,8:00 AM - 8:00 PM Daily,https://www.facebook.com/p/Balay-Indang-100067963604780/
8,Nurture Wellness Village,Tagaytay,Cavite,"""A wellness retreat offering holistic spa treatments, organic dining, and eco-friendly accommodations. Specializes in Filipino traditional healing therapies and farm tours.""",Resort,"""Wellness, Luxury, Relaxation""",4.7,4500,14.1251808,120.9419548,8:00 AM - 8:00 PM Daily,www.nurture.com.ph
9,Chateau Hestia,Silang,Cavite,"""A garden restaurant serving European cuisine with a farm-to-table concept, and artisanal cheese production. Features rustic European-inspired architecture and gardens.""",Restaurant,"""Culinary, Unique, Upscale""",4.3,900,14.15132906,120.9726938,10:00 AM - 8:00 PM Wed-Mon,NaN
10,Bag of Beans,Tagaytay,Cavite,"""A popular cafe chain in Tagaytay known for its premium coffee handmade pastries and cozy garden setting. Offers breakfast all day with views of Taal Lake.""",Cafe,"""Scenic, Relaxation, Mid-range""",4.5,500,14.09701441,120.9155384,7:00 AM - 9:00 PM Daily,0917 866 7033
11,Mushroom Burger,Tagaytay,Cavite,"""Famous for its unique mushroom-based burgers and affordable meals with a view of Taal Lake.""",Restaurant,"""Culinary, Nostalgic, Budget""",4,250,14.0979248,120.9316928,8:00 AM - 8:00 PM Daily,NaN
12,Tagaytay Highlands,Tagaytay,Cavite,"""An exclusive mountain resort complex with championship golf courses, swimming pools, and various recreational facilities. Features luxury accommodations with mountain views.""",Resort,"""Luxury, Sports, Recreation""",4.8,5000,14.14106452,121.0199447,7:00 AM - 10:00 PM Daily,www.tagaytayhighlands.com
13,Canyon Cove Beach Club,Ternate,Cavite,"""A beachfront resort offering various water activities jet skis, kayaking, and comfortable accommodations with direct access to the beach area.""",Beach,"""Outdoor, Family-oriented, Adventure""",4,4000,14.14106452,121.0199447,8:00 AM - 6:00 PM Daily,02 8703 6158
14,Katungkulan Beach Resort,Ternate,Cavite,"""An affordable beach resort with native cottages and basic amenities for a simple beach getaway. Popular with families looking for budget-friendly options. Also known as Boracay de Cavite.""",Beach,"""Budget, Family-oriented, Outdoor""",3.8,200,14.3121,120.7024,8:00 AM - 6:00 PM Daily,0999 402 4152
15,Kaybiang Tunnel,Ternate,Cavite,"""The longest underground highway tunnel in the Philippines connecting Ternate to Nasugbu with dramatic landscapes on both ends. Popular with motorcycle riders.""",Leisure,"""Adventure, Scenic, """,4.3,0,14.23473256,120.6337254,Open 24 hours,NaN
16,Patungan Beach,Maragondon,Cavite,"""A hidden beach cove offering white sand, clear waters, and a peaceful atmosphere away from crowds. Accessible by boat or through a scenic hiking trail.""",Beach,"""Adventure, Off-the-beaten-path, Budget""",4.2,2500,14.22254549,120.6232138,7:00 AM - 5:00 PM Daily,NaN
17,Twin Lakes,Tagaytay,Cavite,"""A Tuscany-inspired complex with restaurants shops, vineyard, and stunning views of Taal Lake. Features wine tasting experiences and gourmet dining options.""",Leisure,"""Upscale, Scenic, Culinary""",4.4,800,14.06895363,120.8571951,10:00 AM - 9:00 PM Daily,www.twinlakes.ph
18,Taal Vista Hotel,Tagaytay,Cavite,"""A historic hotel with colonial architecture offering premium accommodations and magnificent views of Taal Volcano. Features heritage tours and luxury amenities.""",Hotel,"""Luxury, Historic, Upscale""",4.7,7000,14.09571775,120.9348457,24 hours Daily,www.taalvistahotel.com
19,Antonio's,Tagaytay,Cavite,"""An award-winning fine dining restaurant set in a colonial-style mansion with beautiful gardens. Consistently ranked among the best restaurants in the Philippines.""",Restaurant,"""Luxury, Culinary, Special, Occasion""",4.9,2000,14.10081703,120.8944406,11:30 AM - 9:00 PM Tue-Sun,www.antoniosrestaurant.ph
20,People's Park in the Sky,Tagaytay,Cavite,"""A park situated at one of the highest points in Tagaytay offering 360-degree views of the surrounding areas. Scenic spot good for taking pictures""",Leisure,"""Scenic, Historical, Budget""",4.2,100,14.14185395,121.022041,6:00 AM - 6:00 PM Daily,+63 46 413 0712
21,Picnic Grove,Tagaytay,Cavite,"""A recreational area with picnic tables, ziplines, horseback riding, with scenic views of Taal Volcano""",Leisure,"""Family-oriented, Outdoor, Budget""",4.3,50,14.12489296,120.9977949,7:00 AM - 6:00 PM Daily,NaN
22,Paradizoo,Mendez,Cavite,"""A theme farm and zoo featuring various plants, flowers, and animals with educational activities. Offers interactive farm experiences, and animal encounters.""",Leisure,"""Educational, Family-oriented, Mid-range""",4,500,14.12876182,120.8954473,8:00 AM - 5:00 PM Daily,www.zoomanity.com.ph
23,Qiwellness Living,Tagaytay,Cavite,"""A spa and tea house with oriental design offering relaxation, treatments, and dining with a view. Features hot and cold pools with panoramic lake views.""",Spa,"""Wellness, Luxury, Relaxation""",4.6,3000,14.10133272,120.9468412,10:00 AM - 10:00 PM Daily,www.qiwellnessliving.com
24,Marcia Adams,Alfonso,Cavite,"""A rustic Mediterranean restaurant with stone architecture, and garden dining areas. Features farm-to-table cuisine in a romantic countryside setting.""",Restaurant,"""Romantic, Upscale, Unique""",4.7,1700,14.08987256,120.8916819,11:00 AM - 9:00 PM Tue-Sun,+63 917 801 1456
25,Residence Inn Zoo,Tagaytay,Cavite,"""A mini-zoo, and amusement center featuring various animals, and rides for children. Offers interactive animal shows, and feeding experiences.""",Leisure,"""Family-oriented, Educational, Budget""",3.8,600,14.0877763,120.8945538,8:00 AM - 5:00 PM Daily,+63 46 413 2711
26,Balay Dako,Tagaytay,Cavite,"""A restaurant by renowned Chef Antonio Escalante, serving traditional Filipino dishes in generous portions. Set in a large heritage house with panoramic views of Taal Lake.""",Restaurant,"""Culinary, Filipino, Family-oriented""",4.5,1000,14.10276519,120.9510029,11:00 AM - 10:00 PM Daily,www.antoniorestaurant.ph/balay-dako
27,The Inn at Cliffhouse,Tagaytay,Cavite,"""A boutique hotel perched on a cliff with stylish accommodations and panoramic views. Features modern amenities and access to exclusive dining establishments. Amenities include a cafe and bakery. """,Hotel,"""Luxury, Romantic, Scenic""",4.6,6500,14.10238693,120.9498261,24 hours Daily,www.cliffsidetagaytay.com
28,Hotel Kimberly,Tagaytay,Cavite,"""A family-friendly hotel with spacious rooms, swimming pool, and a small farm where kids can interact with animals. Offers educational farm tours and activities.""",Hotel,"""Family-oriented, Mid-range, Educational""",4.2,6000,14.12235549,120.9344179,24 hours Daily,www.hotelkimberly.com
29,Bulalo Point,Tagaytay,Cavite,"""A local restaurant famous for its bulalo (beef marrow soup) a specialty of the Tagaytay region. Offers rustic dining with countryside views.""",Restaurant,"""Culinary, Filipino, Budget, Bulalohan, Bulalo""",4.1,400,14.09929469,120.9235723,10:00 AM - 10:00 PM Daily,+63 46 413 2874
30,Leslie's Restaurant,Tagaytay,Cavite,"""A long-standing restaurant known for its bulalo and Filipino dishes with a view of Taal Volcano. A Tagaytay institution frequented by both locals and tourists.""",Restaurant,"""Culinary, Filipino, Mid-range""",4,600,14.10220566,120.9519971,7:00 AM - 11:00 PM Daily,+63 46 413 1065
31,Mahogany Market & Beef Bulalohan,Tagaytay,Cavite,"""A local market where you can find fresh produce and affordable bulalo restaurants frequented by locals. Known for authentic no-frills dining experiences. Best place to eat Bulalo in Tagaytay.""",Restaurant,"""Culinary, Local, Budget, Bulalohan, Bulalo""",4,250,14.10420675,120.9316387,4:00 AM - 9:00 PM Daily,NaN
32,Our Lady of Lourdes Parish,Tagaytay,Cavite,"""A historic church in Tagaytay with beautiful architecture, and a serene atmosphere. Features stained glass windows and religious artifacts.""",Religious Site,"""Spiritual, Historical, Budget""",4.4,0,14.11248041,120.9591565,5:00 AM - 8:00 PM Daily,+63 46 413 2387
33,St. Gregory the Great Parish,Indang,Cavite,"""A church in Indang Cavite. Known for its beautiful interiors and regular masses attended by both locals and visitors.""",Religious Site,"""Spiritual, Scenic, Budget""",4.3,0,14.19706769,120.8785384,5:00 AM - 7:00 PM Daily,+63 46 415 0087
34,Breakfast at Antonio's,Tagaytay,Cavite,"""A casual dining spot offering all-day breakfast, and comfort food in a relaxed garden setting. Sister restaurant of the fine-dining Antonio's. Known for Beef Tapa, Omelette, and Eggs Benedict""",Restaurant,"""Culinary, Mid-range, Relaxation""",4.5,800,14.08836237,120.8985328,7:00 AM - 4:00 PM Daily,www.antoniosrestaurant.ph
35,Pamana Restaurant,Tagaytay,Cavite,"""A restaurant specializing in heritage Filipino recipes served in a home-style setting. Features family heirloom recipes and nostalgic interiors.""",Restaurant,"""Culinary, Filipino, Mid-range""",4.4,500,14.11218697,120.9594986,10:00 AM - 9:00 PM Daily,+63 46 697 0273
36,Fire Lake Grill,Tagaytay,Cavite,"""A steakhouse with an open kitchen and a view of Taal Volcano. Specializes in grilled meats, and fresh seafood with premium ingredients.""",Restaurant,"""Culinary, Upscale, Western""",4.3,2000,14.10246307,120.9498236,11:00 AM - 10:00 PM Daily,+63 46 483 2050
37,Gourmet Farms,Silang,Cavite,"""A coffee farm and restaurant specializing in organic products with farm tours available. Features sustainable farming practices and educational programs.""",Farm,"""Educational, Culinary, Sustainable""",4.3,400,14.14725229,120.9568436,7:00 AM - 5:00 PM Daily,www.gourmetfarms.com.ph
38,Crosswinds Resort,Tagaytay,Cavite,"""A Swiss-themed resort with luxury accommodations, and pine-lined landscapes. Features European-inspired architecture and mountain climate.""",Hotel,"""Luxury, Unique, Scenic""",4.5,4000,14.14127036,121.0076092,24 hours Daily,www.crosswindsresort.com
39,Lee Boutique Hotel,Tagaytay,Cavite,"""A modern boutique hotel in Tagaytay offering comfortable rooms, and personalized service. Features contemporary design and convenient location.""",Hotel,"""Mid-range, Modern, Convenient""",4.2,3000,14.12105017,120.9686791,24 hours Daily,www.leeboutiquehotel.com
40,Tagaytay Haven Hotel,Tagaytay,Cavite,"""An affordable hotel with clean rooms and basic amenities ideal for budget travelers. Multiple branches around Tagaytay area.""",Hotel,"""Budget, Practical, Family-oriented""",3.9,25000,14.1418712,120.9905387,24 hours Daily,0956 672 3514
41,The Lake Hotel Tagaytay,Tagaytay,Cavite,"""A hotel offering comfortable accommodations with lake views and family-friendly facilities. Features an outdoor pool and garden areas.""",Hotel,"""Mid-range, Family-oriented, Scenic""",4.1,4000,14.10197576,120.9484582,24 hours Daily,lakehoteltagaytay.com
42,Moon Garden Tagaytay,Tagaytay,Cavite,"""A garden resort with unique accommodations and a peaceful ambiance. Features themed cottages and extensive gardens with night lighting.""",Hotel,"""Unique, Mid-range, Relaxation""",4.4,3500,14.12709649,120.9680035,24 hours Daily,0917 702 5456
43,Escala Tagaytay,Tagaytay,Cavite,"""A modern hotel with stylish interiors and a rooftop deck offering panoramic views. Features contemporary amenities and sleek design.""",Hotel,"""Modern, Mid-range, Scenic""",4.3,10500,14.094567,120.9411118,24 hours Daily,www.escalatagaytay.com
44,Hanan Hotel Tagaytay,Tagaytay,Cavite,"""A budget-friendly hotel with comfortable rooms and basic amenities. Located near major attractions and dining establishments in Tagaytay""",Hotel,"""Budget, Practical, Convenient""",3.8,2600,14.11944368,120.9460022,24 hours Daily,0917 568 8861
45,D'Banquet Bakeshop and Restaurant,Tagaytay,Cavite,"""A bakery, and restaurant known for its affordable meals, and freshly baked bread. Popular with families looking for value dining.""",Restaurant,"""Culinary, Budget, Family-oriented""",3.9,300,14.12594108,120.9590158,7:00 AM - 9:00 PM Daily,+63 46 413 4568
46,Diner's Bulalo,Tagaytay,Cavite,"""A simple eatery specializing in bulalo, and other Filipino dishes at reasonable prices. Popular with locals for authentic flavors.""",Restaurant,"""Culinary, Filipino, Budget""",3.8,300,14.10667772,120.95192,10:00 AM - 10:00 PM Daily,0905 560 1946
47,Starbucks Downhill Tagaytay,Tagaytay,Cavite,"""A coffee shop chain with a stunning view of Taal Volcano one of the most scenic Starbucks in the country. Features outdoor seating areas.""",Cafe,"""Culinary, Chain, Scenic""",4.4,300,14.12670596,120.9709783,6:00 AM - 12:00 AM Daily,www.starbucks.ph
48,The Pink Sisters Chapel,Tagaytay,Cavite,"""A contemplative monastery where nuns in pink habits offer prayers for visitors' petitions. Features beautiful architecture and peaceful gardens.""",Religious Site,"""Spiritual, Peaceful, Unique""",4.5,0,14.1270965,120.9625367,6:00 AM - 6:00 PM Daily,046 413 1211
49,Imus Cathedral,Imus,Cavite,"""A historic church that played a significant role during the Philippine Revolution against Spain. Features religious artifacts and colonial architecture.""",Religious Site,"""Historical, Spiritual, Budget""",4.3,0,14.42964341,120.9362938,5:00 AM - 8:00 PM Daily,046 471 2686
50,Memory Lane,Tagaytay,Cavite,"""A nostalgic cafe with memorabilia decor and comfort food offerings. Features vintage items and Filipino snacks and drinks. Their signature dish is Sinigang na Lechon""",Cafe,"""Nostalgic, Mid-range, Unique""",3.9,300,14.10982644,120.948815,9:00 AM - 9:00 PM Daily,0917 858 1950
51,Rowena's Pasalubong,Tagaytay,Cavite,"""A popular bakeshop famous for its tarts and pastries a perfect food souvenir from Tagaytay. Known for fruit tarts and buko pie.""",Restaurant,"""Culinary, Pasalubong, Budget""",4.4,300,14.11446244,120.9615918,7:00 AM - 8:00 PM Daily,046 483 0717
52,Malen's Restaurant,Kawit,Cavite,"""A local restaurant serving traditional Caviteño dishes like adobong dilaw and crispy pata. Known for authentic flavors and generous portions.""",Restaurant,"""Culinary, Filipino, Local""",4.2,400,14.43058832,120.8836719,10:00 AM - 9:00 PM Daily,046 438 1634
53,Caylabne Bay Resort,Ternate,Cavite,"""A secluded resort with a private beach water activities and comfortable accommodations. Features mountain and sea views in an exclusive setting.""",Resort,"""Luxury, Secluded, Relaxation""",4.3,4500,14.27346234,120.6493703,24 hours Daily,www.caylabne.com.ph
54,Lime and Basil,Alfonso,Cavite,"""An organic garden restaurant specializing in Thai and Filipino fusion dishes. Features garden dining in a countryside setting.""",Restaurant,"""Culinary, Fusion, Mid-range""",4.5,800,14.09266325,120.8921481,11:00 AM - 8:00 PM Wed-Sun,limeandbasil.com.ph
55,Morielli's Inn,Tagaytay,Cavite,"""A small family-run inn offering affordable accommodations and personal service. Known for its homey atmosphere, and helpful staff. The restaurant is popular for mexican tacos.""",Hotel,"""Budget, Family-run, Convenient""",4,1800,14.12605635,120.9835188,24 hours Daily,0919 089 6627
56,Tagaytay Country Hotel,Tagaytay,Cavite,"""A mid-range hotel with Philippine-inspired architecture and comfortable facilities. Features traditional Filipino design elements.""",Hotel,"""Mid-range, Cultural, Convenient""",4,3000,14.11945631,120.9632471,24 hours Daily,046 413 3310
57,View Park Hotel,Tagaytay,Cavite,"""A hotel offering rooms with balconies overlooking Taal Volcano and Lake. Amenities include an infinity pool restaurant conference facilities free WiFi and complimentary breakfast.""",Hotel,"""Mid-range, Scenic, Family-oriented""",4.2,3000,14.12613166,120.9968905,24 hours Daily,viewparkhotel.com
58,The Oriental Luxury Suites,Tagaytay,Cavite,"""A high-end hotel offering spacious suites with modern amenities and excellent service. Features include jacuzzi tubs, smart TVs, fine dining restaurant, spa, fitness center, and infinity pool with Taal views.""",Hotel,"""Luxury, Modern, Upscale""",4.7,6000,14.08623983,120.8863969,24 hours Daily,tagaytay.theorientalhotels.com
59,Cafe Voi La Crosswinds,Tagaytay,Cavite,"""A restaurant at Nurture Wellness Village offering healthy, organic meals with Mediterranean influences. Specialty dishes include farm-fresh salads, herb-crusted fish, and their signature wellness juices.""",Restaurant,"""Culinary, Healthy, Organic""",4.4,600,14.13791792,121.0138771,7:00 AM - 9:00 PM Daily,0905 331 4757
60,Domicillo Design Hotel,Tagaytay,Cavite,"""A boutique design hotel with uniquely styled rooms and a rooftop restaurant. Amenities include designer furnishings, rain showers, smart TVs, mini-bars, rooftop dining with panoramic views and architectural touches by local artists.""",Hotel,"""Boutique, Design, Mid-range""",4.6,5000,14.13778382,120.9565725,24 hours Daily,NaN
61,One Tagaytay Place Hotel,Tagaytay,Cavite,"""A hotel with modern amenities including a spa, indoor pool, and fitness center. Features include fully equipped function rooms, cinema room, game room, multiple dining options, sauna rainfall, showers and complimentary breakfast.""",Hotel,"""Mid-range, Modern, Business""",4.2,3000,14.12426163,120.9909033,24 hours Daily,www.onetagaytayplace.com
62,Days Hotel Tagaytay,Tagaytay,Cavite,"""A reliable hotel chain property with comfortable rooms and good service. Amenities include swimming pool, fitness center, restaurant, free WiFi, complimentary breakfast, meeting facilities and business center.""",Hotel,"""Mid-range, Business, Reliable""",4,4000,14.11377871,120.9613078,24 hours Daily,www.wyndhamhotels.com/days-inn/tagaytay-city-philippines
63,RSM Lutong Bahay,Tagaytay,Cavite,"""A casual eatery serving affordable home-style Filipino cuisine. Known for their Lechon Kawali and Bulalong Tagalog and all-day Filipino breakfast selections including tapsilog and longsilog. """,Restaurant,"""Culinary, Filipino, Budget""",3.8,250,14.13116405,120.9828585,7:00 AM - 8:00 PM Daily,0943 131 5543
64,Samira by Chele Gonzalez,Tagaytay,Cavite,"""A fine dining restaurant by renowned Chef Chele Gonzalez serving innovative cuisine combining Spanish and Filipino flavors. Signature dishes include cochinillo inspired by Cebu lechon and modern interpretations of traditional Filipino desserts.""",Restaurant,"""Culinary, Luxury, Fine-dining""",4.8,2500,14.13810016,120.9737789,6:00 PM - 10:00 PM Wed-Sun,0998 955 3630
65,Aozora Japanese Restaurant,Tagaytay,Cavite,"""An authentic Japanese restaurant offering sushi, sashimi, and other Japanese favorites with a view of Taal. Known for their fresh sashimi platters, dragon maki rolls, and wagyu teppanyaki.""",Restaurant,"""Culinary, Japanese, Upscale""",4.4,600,14.11313146,120.9593573,11:00 AM - 9:00 PM Daily,NaN
66,Asiong's of Cavite ,Silang,Cavite,"""A restaurant specializing in traditional Caviteño cuisine like pancit pusit (squid noodles). Other signature dishes include bacalao a la Caviteña, adobong dilaw and their heritage-recipe bibingka.'",Restaurant,"""Culinary, Filipino, Local""",4.4,400,14.14795867,120.9753943,10:00 AM - 8:00 PM Daily,0926 713 9400
67,St. Mary Magdalene Church,Kawit,Cavite,"""A historic church in Kawit built during the Spanish colonial period with beautiful architecture. Features religious relics, colonial design, intricate altar work, stained glass windows and important historical connections to the revolution.""",Religious Site,"""Historical, Spiritual, Budget""",4.3,0,14.44514125,120.9044592,5:00 AM - 7:00 PM Daily,046 484 7485
68,Tagaytay Econo Inn,Tagaytay,Cavite,"""A budget accommodation offering clean rooms and basic amenities at affordable rates. Amenities include air conditioning hot and cold shower cable TV free WiFi complimentary breakfast and secure parking.""",Hotel,"""Budget, Practical, No-frills""",3.7,1800,14.12609397,120.9810442,24 hours Daily,046 483 4284
69,Ternate Beach Resort,Ternate,Cavite,"""A gray sand beach with calm waters ideal for swimming, and water activities. Features basic amenities rental, cottages, volleyball courts, fresh seafood vendors, and boat rental for island hopping.""",Beach,"""Outdoor, Budget, Family-oriented""",3.8,2500,14.28750905,120.7066095,6:00 AM - 6:00 PM Daily,0921 656 5569
70,Malibiclibic Falls,Bailen,Cavite,"""A small waterfall with clear waters and natural pools for swimming. Features picnic areas, trekking trails, lush vegetation, and birdwatching opportunities.""",Natural Attraction,"""Adventure, Nature, Budget, Tourist, Attraction""",3.8,75,14.21844839,120.7873818,7:00 AM - 5:00 PM Daily,+63 915 237 6549
